Unnamed: 0,48. Simple Verbs,48.மூலக்ரியா பதா3ன்,मूलक्रिया पदान,ꢪꢹꢭꢒ꣄ꢬꢶꢫꢵ ꢦꢣꢵꢥ꣄
உத்தேசி (த்த்)  ,"decide, aim",த்4யேயு/லக்ஷ்யு,"ध्येयु, लक्ष्यु","ꢤ꣄ꢫꢾꢫꢸ, ꢭꢒ꣄ꢰ꣄ꢫꢸ"
உதவு (இன்)  ,help,ஸஹாவ்கேர்,सहाव्केर,ꢱꢲꢵꢮ꣄ꢒꢿꢬ꣄
உதறு (இன்)  ,shake off,விலிஞ்சி,विलिञ्चि,ꢮꢶꢭꢶꢛ꣄ꢗꢶ
உதி (த்த்)  ,rise,உஞ்சொ ஆவ்,उञ्चा॑ आव्,ꢆꢛ꣄ꢗꣁ ꢃꢮ꣄
உதிர் (ந்த்)  ,shed off,லால்,लाल्,ꢭꢵꢭ꣄
உதை (த்த்)  ,kick,லாத்,लात्,ꢭꢵꢡ꣄
உந்து (இன்)  ,push,தொ3ப்3பி3,दोब्बि,ꢣꣁꢨ꣄ꢨꢶ
உப்பு (இன்)  ,swollen,பு2க்3கி3,फुग्गि,ꢧꢸꢔ꣄ꢔꢶ
உபசரி (த்த்)  ,treat,பொ2வ்ணபன்கேர்,फा॑व्णपन्केर,ꢧꣁꢮ꣄ꢠꢦꢥ꣄ꢒꢿꢬ꣄
உபதேசி (த்த்)  ,advise,பு3த்3தி3ஸங்கி3,बुद्दिसङ्गि,ꢨꢸꢣ꣄ꢣꢶ  ꢱꢖ꣄ꢔꢶ
உபயோகி (த்த்)  ,use,வவ்ரி/உப3யோக்கேர்,"व्व्रि, उब्योक्केर्","ꢮꢮ꣄ꢬꢶ, ꢆꢨꢫꣂꢒ꣄ ꢒꢿꢬ꣄"
உமிழ் (ந்த்)  ,spit,தூ2வ்,थूव्,ꢤꢹꢮ꣄
உயர் (ந்த்)  ,rise,உஞ்சொஆவ்,उञ्चा॑आव्,ꢆꢛ꣄ꢗꣁ ꢃꢮ꣄
உயர்த்து (இன்)  ,lift,உஞ்சொதுக்கி,उञ्चा॑ तुक्कि,ꢆꢛ꣄ꢗꣁ ꢡꢸꢒ꣄ꢒꢶ
உரசு (இன்)  ,rub,கே3ஸ்,गेस्,ꢔꢿꢱ꣄
உராய் (ந்த்)  ,rub,கே3ஸ்,गेस,ꢔꢿꢱ꣄
உராவு (இன்)  ,rub,கே3ஸ்,गेस्,ꢔꢿꢱ꣄
உரி (ந்த்)  ,be peel (int.) ,ஸொலயெ,सा॑लय॑,ꢱꣁꢭꢫꢾ
உரி (த்த்)  ,peel (tr.),ஸோல்,सोल्,ꢱꣂꢭ꣄
