Unnamed: 0,49. Compound Verbs,மிஶ்ர க்ரியான்,मिश्र क्रियान,ꢪꢶꢯ꣄꣄ꢬ ꢒ꣄ꢬꢶꢫꢵꢥ꣄
உட்கொள்  ,"take in, eat",போ4ஜனொகெர்லே,भोजना॑ क॑र्ले,ꢩꣁꢙꢥꣁ ꢒꢾꢬ꣄ꢭꢿ
உட்செலுத்து  ,"insert, inject (medicine)",பி4த்தர் தோ2வ்/ ஹொக3த் ஹிங்கா3ட்,"भित्तर थोव, होगत हिङ्गाट","ꢩꢶꢡ꣄ꢡꢬ꣄ ꢢꣂꢮ꣄, ꢲꣁꢔꢡ꣄ ꢲꢶꢖ꣄ꢔꢵꢜ꣄"
உட்படு  ,agree,ஸம்மத் பொந்தி3,स्म्मत पा॑न्दि,ꢱꢪ꣄ꢪꢡ꣄ ꢦꣁꢥ꣄ꢣꢶ
உட்புகு  ,penetrate,பி4த்தர் தூர்,भित्तर तूर,ꢩꢶꢡ꣄ꢡꢬ꣄ ꢡꢹꢬ꣄
உடன்படிக்கை செய்   ,make an agreement,ஸஹமதி ஹொய் லே / ஒஜனாக் ஒஜனொ ஒப்பிலே,सहमति हा॑य्ले आ॑जनाक आ॑जना॑ आ॑प्पिले,"ꢱꢲꢪꢡꢶ ꢲꣁꢫ꣄ꢭꢿ, ꢏꢙꢥꢵꢒ꣄ ꢏꢙꢥꣁ ꢏꢦ꣄ꢦꢶꢭꢿ"
உடைகளை  ,undress,பொ3ட்டொ ஹேட்/ பொ3ட்டொ ஸொவ்டி3,"बा॑ट्टा॑ हेट, बा॑ट्टा॑ सा॑व्डि","ꢨꣁꢜ꣄ꢜꣁ ꢲꢾꢜ꣄, ꢨꣁꢜ꣄ꢜꣁ ꢱꣁꢮ꣄ꢞꢶ"
உண்டுபண்ணு  ,"make, create",உத்பத்தி கேர்,उत्पत्ति केर्,ꢆꢬ꣄ꢦꢡ꣄ꢡꢶ ꢒꢿꢬ꣄
உணவளி  ,feed,பா4த் கா4ல்,भात घाल,ꢩꢵꢡ꣄ ꢕꢵꢭ꣄
உத்தரவிடு  ,order,ஆஜ்ஞொதே3,आजञो दे,ꢃꢙ꣄ꢛꣁ ꢣꢿ
உபயோகப்படு  ,be useful,ப்ரயோஜனொ போட்/ உபயோக் ஹோ/ நுகா3ஸ்திஸொ ரா:,"प्रयोजना॑ पोट, उपयोकहो, नुगास्तिसा॑ र्हा","ꢦ꣄ꢬꢫꣂꢙꢥꣁ ꢦꣁꢜ꣄, ꢆꢦꢫꣂꢒ꣄ ꢲꣂ, ꢥꢸꢔꢵꢱ꣄ꢡꢶꢱꣁ ꢬꢴꢵ"
உயிர்விடு  ,Lay down life,ஜீவ்ஸோட்,जीव्सोट,ꢙꢷꢮ꣄ ꢱꣂꢜ꣄
உயிரூட்டு  ,animate,ஜீவ் தே3/ ஜீவ்  கா4ல்,"जीव्दे, जीव घाल","ꢙꢷꢮ꣄ꢣꢾ, ꢙꢷꢮ꣄ ꢕꢵꢭ꣄"
உரமூட்டு  ,strengthen,பொ3லம்கேர்,बा॑लम्केर,ꢨꣁꢭꢪ꣄ꢒꢿꢬ꣄
உரிமைகொண்டாடு  ,to claim right,பா3த்4யதொ மகி3லே,बाध्यता॑ मगिले,ꢨꢵꢤ꣄ꢫꢡꣁ ꢪꢔꢶꢭꢾ
உருகொடு  ,give shape,ரூப் கா4ல்,रूप घाल,ꢬꢹꢦ꣄ ꢕꢵꢭ꣄
உருப்போடு  ,memorize,மனனொ கெர்லே,मनना॑ केर्ले,ꢪꢥꣁꢥꣁ ꢒꢾꢬ꣄ꢭꢾ
உருமாறு  ,change form,ரூப் மர்சிலே,रूप मर्चिले,ꢬꢸꢦ꣄ ꢪꢬ꣄ꢗꢶꢭꢿ
உரையாடு  ,converse,ஸம்பா4ஷணொகேர்,सम्भाषणा॑ केर,ꢱꢪ꣄ꢩꢵꢰꢠꣁ ꢒꢿꢬ꣄
உள்ளடக்கு  ,include,லோபுலொ ரா:ஸ்திஸொ கேர்/ லோபுலொ தொ2வ்லே,"लोपुला॑ रास्तिसा॑ केर, लोपुला॑ धा॑व्ले","ꢭꣂꢦꢸꢭꣁ ꢬꢵꢱ꣄ꢡꢶꢱꣁ ꢒꢿꢬ꣄, ꢭꣂꢦꢸꢭꣁ ꢢꣁꢮ꣄ꢭꢿ"
உற்சாகமடை  ,Get enthusiasm,உத்ஸாஹ் பொந்தி3,उत्साह पा॑न्दि,ꢆꢡ꣄ꢱꢵꢲ꣄ ꢦꣁꢥ꣄ꢣꢶ
உற்றுக்கேள்,Listen attentively,க3ம்சிஐகி,गम्चि ऐकि,ꢔꢪ꣄ꢗꢶ ꢎꢒꢶ
உற்றுப்பார்  ,gaze,கூ2ர்கனி ஸா,खुर्कनि सा,ꢓꢸꢬ꣄ꢒꢥꢶ ꢱꢵ
உறவாடு  ,Interact affectionately,ஒஜனாக் ஒஜனொ ப்ராமொகனி சல்லே,आ॑जनाक आ॑जना॑  प्रामा॑कनि चल्ले,ꢏꢙꢥꢵꢒ꣄ ꢏꢙꢥꣁ ꢦ꣄ꢬꢵꢪꣁꢒꢥꢶ ꢗꢭ꣄ꢭꢾ
உறுதி செய்   / உறுதிப்படுத்து,confirm,நிஷ்கணொ கேர்,निष्कणा॑ केर,ꢥꢶꢱꢰ꣄꣄꣄ꢒꢠꣁ ꢒꢿꢬ꣄
உறுதிபூண்  ,take oath,ப்ரமாண்க2ள்ளே,प्रमाण्खळ्ळे,ꢦ꣄ꢬꢪꢵꢠ꣄ꢓꢳ꣄ꢳꢿ
ஊக்கமளி  ,encourage,உத்ஸாஹ்கேர்,उत्साह्केर,ꢆꢡ꣄ꢱꢵꢲ꣄ꢒꢿꢬ꣄
ஊசலாடு  ,Oscillate/ swing,உஞ்ஜலொ கா2ள்,उञ्जला॑ खाळ्,ꢆꢛ꣄ꢙꢭꣁ ꢓꢵꢳ
ஊடுருவு  ,Infiltrate,சொட்3ட3 பொடி3பி4த்தர் தூர்,चा॑ड्ड पा॑डिभित्तर तूर,ꢗꣁꢞ꣄ꢞꣁ ꢦꣁꢞꢶꢩꢶꢡ꣄ꢡꢬ꣄ ꢢꢹꢬ꣄
ஊர்ஜிதம் செய்   ,establish,ஸ்தி2ரொ கேர்,स्थिरा॑ केर,ꢱ꣄ꢢꢶꢬꣁ ꢒꢿꢬ꣄
ஊளையிடு  ,Howl/whistle,கொ2லா ப4வாட் தாய்/பு2வ்னி ரெச்சொ கேர்,"खा॑ला भवाट ताय, फव्नि र॑च्चा॑ केर","ꢓꣁꢭꢵ ꢩꢮꢵꢜ꣄ ꢡꢵꢫ꣄, ꢧꢸꢮ꣄ꢥꢶ ꢬꢾꢗ꣄ꢗꣁ ꢒꢿꢬ꣄"
எக்காளமிடு  ,bellow,பெ4ய்ஸு ரெச்சொ தாய்,भा॑य्सु र॑च्चा॑ ताय,ꢩꣁꢫ꣄ꢱꢸ ꢬꢾꢗ꣄ꢗꣁ  ꢡꢵꢫ꣄
எண்ணமிடு  ,think,ஹட்வி ஸா,हट्वि सा,ꢲꢜ꣄ꢮꢶ ꢱꢵ
எதிரொலி  ,echo,ப்ரதிதொ4னி கேர்,प्रतिधा॑नि केर,ꢦ꣄ꢬꢡꢶꢤꣁꢥꢶꢒꢿꢬ꣄
எதிர்ப்படு  ,Encounter/meet,வெது3ர்போட்/ ஸாமுர் ஆவ்/வெது3ர் தெ3க்கி,"व॑दुर्पोट, सामुर आव, वेदुर द॑क्कि","ꢮꢾꢣꢸꢬ꣄ ꢦꣁꢜ꣄, ꢱꢵꢪꢸꢬ꣄ ꢃꢮ꣄, ꢮꢾꢣꢸꢬ꣄ ꢣꢾꢒ꣄ꢒꢶ"
எதிர்பார் ,Expect,ப்ரதீக்ஷொ  கேர்/ எது3ர் ஸா,"प्रतीक्षो केर, एदुर्सा","ꢦ꣄ꢬꢡꢷꢒ꣄ꢯꣁ ꢒꢿꢬ꣄, ꢌꢣꢸꢬ ꣄ꢱꢵ"
எரிச்சலூட்டு  ,irritate,ராக் அவாட்,राक अवाट,ꢬꢵꢒ꣄ ꢂꢮꢵꢜ꣄
எல்லைகட  ,exceed,ஸீமொ தா3ட்,सीमा॑ दाट,ꢱꢷꢪꣁ ꢣꢵꢜ꣄
எழுச்சியூட்டு  ,Inspire/ motivate,உத்3வேக்3 கேர்/ உத்3வேக்3 அவாட்,"उद्वेग केर, उद्वेग अवाट","ꢆꢣ꣄ꢮꢿꢒ꣄ ꢒꢾꢬ꣄, ꢆꢣ꣄ꢮꢿꢔ꣄ ꢂꢮꢵꢜ꣄"
எள்ளிநகையாடு ,Mock /ridicule,உபஹாஸ் கேர்,उपहास केर,ꢆꢦꢲꢵꢱ꣄ ꢒꢿꢬ꣄
ஏக்கம்கொள்  ,long for,ஹெதொபோட்,ह॑ता॑पोट्,ꢲꢾꢡꣁ ꢦꣂꢜ꣄
ஏப்பமிடு  ,belch,தெ3கா3ர்தே3,द॑गार्दे,ꢣꢾꢔꢵꢬ꣄ꢣꢿ
ஏலம்விடு  ,auction,எலம்ஸோட்,एलम्सा॑ट्,ꢌꢭꢪ꣄ ꢱꣂꢜ꣄
ஏற்பாடு செய்   ,arrange,ப்ரப3ந்து கேர்,प्रबन्तु केर,ꢦ꣄ꢬꢨꢥ꣄ꢡꢸ ꢒꢿꢬ꣄
ஒத்திகை நடத்து   ,rehearse,பூர்வாபி4னயொ கேர்,पूर्वाभिनया॑ केर,ꢦꢹꢬ꣄ꢮꢩꢶꢥꢫꣁ ꢒꢿꢬ꣄
ஒத்திப்போடு  ,Postpone/ procrastinate,ஸொம்மர் தொ3ப்3பி3 தோ2வ்,सा॑म्मर दा॑ब्बिथोव,ꢱꣁꢪ꣄ꢪꢬ꣄ ꢣꣁꢨ꣄ꢨꢶꢢꣁꢮ꣄
ஒத்திவை,adjourn,தொ3ப்3பி3தோ2வ்,दा॑ब्बिथोव,ꢣꣁꢨ꣄ꢨꢶꢢꣂꢮ꣄
