Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢡꢾꢒꢸꢬꢵꢭ꣄,त॑कुराल्,தெகு3ரால்,te'kuraal,tEkurAl,tĕkurāl,t̪ekuɾɑːl,dispute,தகராறு  
ꢬꢸꢙꢸ,रुजु,ருஜு,ruju,ruju,ruju,ɾud͡ʒu,evidence,தடயம்  
ꢢꢥꢵꢭ ꣄ꢭꣀꢞꢵ ꢲꢥ꣄ꢥꢶ,थणा ललैडा हन्नि,த2னால் லைடா3 ஹன்னி,thanaala laid'aa hanni,thanAla laiDA hanni,thanāla laiḍā hanni,t̪ʰən̪ɑːlə ləɪɖɑː ɦən̪n̪ɪ,lathi charge,தடியடி  
ꢲꢶꢨ꣄ꢨꢵꢞꢸ ꢃꢙꢛꣁ,हिब्बाडु आजञो,ஹிப்3பா3டு3 ஆஜ்ஞொ,hibbaad'u aajanyo',hibbADu AjaJO,hibbāḍu ājañŏ,ɦɪbbɑːɖu ɑːd͡ʒəɲo,"prevention order, stay order",தடையுத்தரவு  
ꢥꢶꢬꣂꢤ꣄ ꢃꢙ꣄ꢛꢸ,निरोध आजञो,நிரோத்4 ஆஜ்ஞொ,nirodh aajnyu,nirodh AjJu,nirodh ājñu,n̪ɪɾoːd̪ʰ ɑːd͡ʒɲu,"prevention order, stay order",தடையுத்தரவு  
ꢣꢾꢠ꣄ꢞꢥꣁ,द॑ण्डना॑,தெ3ண்ட3னொ,de'nd'ano',dENDanO,dĕṇḍanŏ,d̪eɳɖən̪o,punish-ment,தண்டனை  
ꢪꢥ꣄ꢡꢸ,मन्तु,மந்து,mantu,mantu,mantu,mən̪t̪u,mistake,"தவறு, தப்பு  "
ꢲꣂꢬ꣄,होर्,ஹோர்,hor,hor,hor,ɦoːɾ,side,தரப்பு  
ꢱ꣄ꢮꢫ ꢬꢒ꣄ꢰꢠꣁ,स्वय रक्षणा॑,ஸ்வய ரக்ஷணொ,svaya rakshano',svaya rakSaNO,svaya rakṣaṇŏ,s̪ʋəjə ɾəkʂəɳo,self-defence,தற்காப்பு  
ꢗꣁꢬ꣄,चो्र,சோர்,cho'r,cOr,cŏr,t͡ʃoɾ,theft,திருட்டு  
ꢗꣁꢞ꣄ꢞꣁ,चा॑ड्डा॑,சொட்3டொ3,cho'd'd'o',cODDO,cŏḍḍŏ,t͡ʃoɖɖo,thief,திருடன்
ꢗꣁꢞ꣄ꢞꢶ,चा॑ड्डि,சொட்3டி3,cho'd'd'i,cODDi,cŏḍḍi,t͡ʃoɖɖɪ,thief,திருடி
ꢡꢷꢬ꣄ꢦꢸ,तीर्पु,தீர்பு,teerpu,tIrpu,tīrpu,t̪iːɾpu,judgement,தீர்ப்பு  
ꢠꢶꢬ꣄ꢠꢫꣁ,निर्णया॑,நிர்ணயொ,nirnayo',NirNayO,ṇirṇayŏ,ɳɪɾɳəjo,judgement,தீர்ப்பு  
ꢄꢔ꣄ꢬꢮꢵꢡꢶ ,उग्रवाति,உக்3ரவாதி3,igravaati,igravAti,igravāti,ɪgɾəʋɑːt̪ɪ,extremist,தீவிரவாதி  
ꢭꢸꢒ꣄ ꢙꢥ꣄ꢥꢬ꣄,लुक्जन्नर,லுக் ஜன்னார்,luk jannar,luk jannar,luk jannar,luk d͡ʒən̪n̪əɾ,detective,துப்பறிபவர்  
