Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢱꢲ ꢪꢥ꣄ꢡꢶꢬꢶ,सह मन्तिरि,ஸஹ மந்திரி,saha mantiri,saha mantiri,saha mantiri,s̪əɦə mən̪t̪ɪɾɪ,minister for state,இணையமைச்சர்  
ꢱꢾꢬ꣄ꢗꢥ꣄ꢩꢵꢰꣁ,च॑र्चन्भाषा॑,செர்சன்பா4ஷொ,se'rchanbhaasho',sErcanbhASO,sĕrcanbhāṣŏ,s̪eɾt͡ʃən̪bʰɑːʂo,link language,இணைப்புமொழி  
ꢱꢥ꣄ꢣꢶ ꢩꢵꢰꣁ,सन्दि भाषा॑,ஸந்தி3 பா4ஷொ,sandi bhaasho',sandi bhASO,sandi bhāṣŏ,s̪ən̪d̪ɪ bʰɑːʂo,link language,இணைப்புமொழி  
ꢱꢪ꣄ꢫꢸꢒ꣄ꢡ ꢱꢖ꣄ꢕꣁ,सम्युक्त सङ्घा॑,ஸம்யுக்த ஸங்கொ4,samyukta sangho',samyukta saGghO,samyukta saṅghŏ,s̪əmjukt̪ə s̪əŋgʰo,federation,இணையம்  
ꢱꢛ꣄ꢙꢶꢒꢾ,सञ्जिका॑,ஸஞ்ஜிகொ,sanjike',saJjikE,sañjikĕ,s̪əɲd͡ʒɪke,issue (magazine),இதழ்  
ꢩꢵꢬꢡꢥꢶꢬ꣄ꢮꢵꢲꢸꢱꢿꢮꣁ,भारत निर्वाहु सेवा॑,பா4ரதநிர்வாஹுஸேவொ,bhaaratanirvaahusevo',bhAratanirvAhusevO,bhāratanirvāhusevŏ,bʰɑːɾət̪ən̪ɪɾʋɑːɦus̪eːʋo,Indian Admini strative Service,இந்திய ஆட்சிப்பணி   
ꢩꢵꢬꢡ ꢂꢦꢬꢵꢤꢸ ꢱꢵꢱꢥꣁ,भारत अपराधु सासना॑,பா4ரதஅபராது4 ஸாஸனொ,bhaarata aparaadhu saasano',bhArata aparAdhu sAsanO,bhārata aparādhu sāsanŏ,bʰɑːɾət̪ə əpəɾɑːd̪ʰu s̪ɑːs̪ən̪o,Indian Penal Code-IPC,இந்தியக் குற்றவியல் சட்டம்    
ꢃꢥ꣄ꢣꣂꢭ꣄,आन्दोल,ஆந்தோ3ல்,aandol,Andol,āndol,ɑːn̪d̪oːl,movement,இயக்கம்  
ꢒꢵꢬ꣄ꢫꢵꢭꢫ ꢱꢖ꣄ꢔꢪꣁ,कार्यालय सङ्गमा॑,கார்யாலய ஸங்க3மொ,kaaryaalaya sangamo',kAryAlaya saGgamO,kāryālaya saṅgamŏ,kɑːɾjɑːləjə s̪əŋgəmo,directorate,இயக்ககம்
ꢥꢶꢬ꣄ꢮꢵꢲꢶ,निर्वाहि,நிர்வாஹி,nirvaahi,nirvAhi,nirvāhi,n̪ɪɾʋɑːɦɪ,director,இயக்குநர்  
