Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢩꣁꢬ꣄ꢮꢵꢜ꣄,भोर्वाट,பொ4ர்வாட்,bho'rvaat',bhOrvAT,bhŏrvāṭ,bʰoɾʋɑːʈ,fill up,நிரப்பு
ꢩꣁꢬ꣄ꢮꢫꢶ ꢬꢴꢵ,भा॑र्वयि र्हा,பொ4ர்வயி ரா:,bho'rvayi rhaa,bhOrvayi rhA,bhŏrvayi rhā,bʰoɾʋəjɪ ɾɦɑː,fill up,நிரம்பு
ꢣꣁꢨ꣄ꢨꢶ,दा॑ब्बि,தொ3ப்3பி3,do'bbi,dObbi,dŏbbi,d̪obbɪ,reject,நிராகரி
ꢥꢶꢬꢵꢒꢿꢬ꣄,निराकेर,நிராகேர்,niraaker,nirAker,nirāker,n̪ɪɾɑːkeːɾ,reject,நிராகரி
ꢥꢶꢬꢵꢒꢬꢠꣁ ꢒꢿꢬ꣄,निराकरणा॑ केर,நிராகரணொ கேர்,niraakarano' ker,nirAkaraNO ker,nirākaraṇŏ ker,n̪ɪɾɑːkəɾəɳo keːɾ,reject,நிராகரி
ꢬꢸꢙꢸꢒꢿꢬ꣄,रुजुकेर,ருஜு கேர்,rujuker,rujuker,rujuker,ɾud͡ʒukeːɾ,prove,நிரூபி
ꢲꢶꢨ꣄ꢨꢶ,हिब्बि,ஹிப்3பி3,hibbi,hibbi,hibbi,ɦɪbbɪ,Stop/halt,நில்
ꢬꢴꢵ:,र्हा,ரா:,rhaa:,rhA:,rhā:,ɾɦɑː:,prevail,நிலவு
ꢱ꣄ꢡꢵꢦꢥꣁ ꢲꣁꢫ꣄ ꢬꢴꢵ,स्तापना॑ हा॑य र्हा,ஸ்தாபனொ ஹொய் ரா:,staapano' ho'y rhaa,stApanO hOy rhA,stāpanŏ hŏy rhā,s̪t̪ɑːpən̪o ɦoj ɾɦɑː,be established,நிலை
ꢥ꣄ꢬꢹꢦꢠꣁ ꢲꣁꢫ꣄ ꢬꢴꢵ,न्रूपणो हा॑य्रा,ந்ரூபணொ ஹொய் ரா:,nroopano' ho'y rhaa,nrUpaNO hOy rhA,nrūpaṇŏ hŏy rhā,n̪ɾuːpəɳo ɦoj ɾɦɑː,be established,நிலை
ꢲꢶꢨ꣄ꢨꢵꢜ꣄,हिब्बाट्,ஹிப்3பா3ட்,hibbaat',hibbAT,hibbāṭ,ɦɪbbɑːʈ,stop,நிறுத்து
ꢲꢜ꣄ꢮꢶ,हट्वि,ஹட்வி,hat'vi,haTvi,haṭvi,ɦəʈʋɪ,think,நினை
ꢪꣁꢬꢶ ꢙꢵ,मा॑रि जा,மொரி ஜா,mo'ri jaa,mOri jA,mŏri jā,moɾɪ d͡ʒɑː,leave,நீ
ꢲꢿꢜ꣄,हेट्,ஹேட்3,het',heT,heṭ,ɦeːʈ,remove,நீக்கு
ꢲꢶꢜ꣄ꢜꢫꢶ ꢙꢵ,हिट्टयि जा,ஹிட்டயி ஜா,hit't'ayi jaa,hiTTayi jA,hiṭṭayi jā,ɦɪʈʈəjɪ d͡ʒɑː,remove,நீங்கு
ꢅꢣꣁꢓꢵꢳ꣄,ईदा॑ खाळ,ஈதொ3கா2ள்,eedo'khaal',IdOkhAL,īdŏkhāl̤,iːd̪okʰɑːɭ,swim,நீந்து
