ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄,अङ्गीकार्,அங்கீ3கார்,recognition,அங்கீகாரம்  
"ꢲꢸꢡ꣄ꢡꢸꢬꢵꢮ꣄, ꢲꢸꢡ꣄ꢡꢸꢬꢵꢜ꣄","हुत्तुराव, हुत्तुराट",ஹுத்துராவ்/ ஹுத்துராட்,import,இறக்குமதி  
ꢦ꣄ꢬꢡꢶ ꢧꣁꢳ꣄꣄,प्रतिफोळ,ப்ரதிபோ2ள்,compensation,ஈடு  
ꢆꢖ꣄ꢙꢪꢶꢡꢶ,उञचमिति,உஞ்சமிதி,ceiling,உச்சவரம்பு  
ꢆꢳ꣄ꢳꢸ,उळ्ळु,உள்ளு,abetment,உடந்தை  
"ꢱꢲꢗꢵꢬ꣄, ꢱꢥ꣄ꢤꢶ","सहचार्, सन्धि",ஸஹசார்/ஸந்தி4,"agreement, treaty, pact",உடன்படிக்கை  
"ꢦꢬꢱ꣄ꢦꢬ ꢱꢪ꣄ꢪꢥ꣄ꢣꣁ, ꢦꢬꢱ꣄ꢦꢬ ꢏꢱ꣄ꢡꢦꢥ꣄","परस्पर सम्मन्दा॑, परस्पर आ॑स्तपन",பரஸ்பர ஸம்மந்தொ3/ பரஸ்பர ஒஸ்தபன்,co - relation,உடனுறவு  
"ꢃꢲꢵꢬꢸ ꢮꢶꢩꢵꢔ꣄, ꢓꢥꢶ ꢮꢶꢩꢵꢔ꣄","आहारु विभाग, खनिविभाग",ஆஹாரு விபா4க்3 / க2னி விபா4க்3,food department,உணவுத்துறை  
ꢆꢡ꣄ꢡꢬꢮꢵꢣ꣄,उत्तरवाद,உத்தரவாத்3,guarantee,உத்தரவாதம்  
ꢃꢒ꣄ꢒꢸꢣꣁ,आक्कुtaaq,ஆக்குதொ,order,உத்தரவு
"ꢱꢲꢒꢵꢬ꣄, ꢱꢲꢵꢮ꣄","सहकार, सहाव",ஸஹகார் / ஸஹாவ்,aid,உதவி  
ꢆꢦ ꢪꢥ꣄ꢡꢶꢬꢶ,उप मन्तिरि,உப மந்திரி,assistant minister,உதவி அமைச்சர்   
ꢆꢦ ꢣꢹꢡ ꢥꢶꢮꢵꢱ꣄,उप दूत निवास्,உப தூ4தநிவாஸ்,consulate,உதவித்தூதரகம்   
ꢮꢿꢡꢥꣁ,वेतना॑,வேதனொ,stipend,உதவிப்பணம்  
"ꢆꢦꢶꢬ꣄, ꢮꢿꢥ꣄, ꢂꢣ꣄ꢣꢶ, ꢂꢡꢶꢬꢶꢒ꣄ꢡ","उपिर, वेन, अद्दि, अतिरिक्त",உபிர்/வேன்/அத்3தி3/ அதிரிக்த,surplus,உபரி  
ꢄꢗ꣄ꢗꢵ ꢦꢡ꣄ꢡꢬ꣄,इच्चा पत्तर,இச்சா பத்தர்,will,உயில்  
ꢂꢥꢸꢒ꣄ꢛꢵ ꢦꢸꢡ꣄ꢬꣁ,अनुकञा पत्रा॑,அனுக்ஞாபத்ரொ,licence,உரிமம்  
ꢨꢵꢣ꣄ꢫꣁ,बाद्या॑,பா3த்3யொ,right,உரிமை  
ꢨꢞ꣄ꢫꢮꢵꢥ꣄,बाद्यवान्,பா3த்3யவான்,"owner, proprietor",உரிமையாளர்  
"ꢙꢸꢥꢡ꣄ꢮꢵꢥ꣄, ꢓꢿꢡꢶ","जुनत्वान, खेति",ஜுனத்வான்/கே2தி,farmer,உழவர்  
ꢔ꣄ꢬꢲ ꢮꢶꢩꢵꢔ꣄,ग्रह विभाग,க்3ரஹ விபா4க்3,home department,உள்துறை  
ꢮꢶꢰꢫ ꢱꢸꢗꢶꢒꣁ,विषयसूचिका॑,விஷய ஸூசிகொ,content,உள்ளடக்கம்  
ꢂꢥ꣄ꢡꢬ꣄ ꢬꢵꢙ꣄ꢙꢶ,अन्तर्राज्जि,அந்தர்ராஜ்ஜி,local ad ministration,உள்ளாட்சி  
ꢥꢶꢮꢿꢰ꣄ꢫꣁ,निवेष्या॑,நிவேஷ்யொ,input,உள்ளீடு  
"ꢆꢡ꣄ꢦꢣ꣄, ꢆꢡ꣄ꢦꢵꢣꢥꣁ","उत्पद, उत्पादना॑",உத்பத்3/ உத்பாத3னொ,production,உற்பத்தி  
ꢤꢶꢞꢮꢵꢒ꣄,धिडवाक,தி4ட3வாக்,oath,உறுதிமொழி  
ꢂꢖ꣄ꢔꢱ꣄ꢢꢸ,अङ्गस्थु,அங்க3ஸ்து2,member,உறுப்பினர்  
"ꢱꣁꢪ꣄ꢨꢸꢳꣁ, ꢮꢾꢡꢥꣁ","सोम्बुळा॑,   वेतना॑",ஸொம்பு3ளொ/ வேதனொ,"salary, emo luments",ஊதியம்  
ꢮꢵꢲꢥꣁ,वाहना॑,வாஹனொ,vehicle,ஊர்தி  
"ꢙꢵꢥ꣄ꢮꢵꢱ꣄, ꢱꣂꢩꢵꢫꢵꢡ꣄ꢬꣁ,ꢏꢬꢵꢡ꣄, ꢗꢸꢜ꣄ꢜꢸ","जान्वास, सोभा यात्रा॑, ओरात, चुट्टु",ஜான்வாஸ்/ ஸோபா4 யாத்ரொ/ ஒராத் / சுட்டு,procession,ஊர்வலம்  
ꢔꢶꢬꢵꢪ꣄ꢫꣁ,गिराम्या॑,க்3ராம்யொ,rural,ஊரகம்  
"ꢔꢵꢪꢠ꣄ꢗꢥ꣄, ꢱꢛ꣄ꢗꢵꢬꢸ ꢥꢰꢿꢤꢥꣁ","गामण्चन्, सञचारु निषेधना॑",கா3மண்சன்/ஸஞ்சாரு நிஷேத4னொ,curfew,ஊரடங்கு  
ꢦꢠꢖ꣄ꢗꢵꢫꢡ꣄ ꢬꢵꢙ꣄ꢙꢶ,पञ्चायत्राज्जि,பஞ்சாயத் ராஜ்ஜி,panchayat,ஊராட்சி  
ꢦꢖ꣄ꢗꢵꢫꢡꢕꢿꢬ꣄,पञ्चायघेर्,பஞ்சாயதுகே4ர்,panchayat union,ஊராட்சி ஒன்றியம்   
"ꢨ꣄ꢬꢰ꣄ꢜꢵꢗꢵꢬ꣄, ꢪꢭꢶꢥꢵꢗꢵꢬ꣄","ब्रष्टाचार, मलिनाचार",ப்3ரஷ்டாசார்/ மலினாசார்,corruption,ஊழல்  
ꢱꢿꢮꣁ,सेवा॑,ஸேவொ,service,ஊழியம்  
"ꢱꢿꢮꢒꣁ, ꢱꢿꢮꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄","सेवका॑, सेवा॑ केर्नार",ஸேவகொ/ ஸேவொ கெர்னார்,servant,ஊழியர்  
ꢱꢖ꣄ꢓ꣄ꢫꢵꢦꣁꢭ꣄ꢒꣁ,सङ्खयापा॑ल्का॑,ஸங்க்2யா பொல்கொ,number plate,எண்பலகை  
ꢮꢶꢩꢒ꣄ꢰꢸ,विभक्षउ,விப4க்ஷு,opposition party,எதிர்க்கட்சி  
"ꢡꣂꢒ꣄ꢱꢥꢶ, ꢦ꣄ꢬꢡꢷꢒ꣄ꢰꣁ","दोक्सनि, प्रतीक्षो",தோக்ஸனி/ப்ரதீக்ஷொ,expectation,எதிர்பார்ப்பு  
ꢦ꣄ꢬꢡꢶꢤ꣄ꢮꢥꢶ,प्रति ध्वनि,ப்ரதி த்4வனி,echo,எதிரொலி  
"ꢦ꣄ꢬꢡꢶꢗꢵꢫꢵ, ꢦ꣄ꢬꢡꢶ ꢨꢶꢪ꣄ꢨꢸ","प्रतिचाया,    प्रति बिम्बु",ப்ரதிஸாயா/         ப்ரதி பி3ம்பு3,reflection,எதிரொளி  
"ꢍꢒꢵꢤꢶꢦꢡꢶ, ꢱ꣄ꢮꢿꢗ꣄ꢗꢵꢗꢵꢬꢶ","एकाधिपति, स्वेच्चाचारि",ஏகாதி4பதி/ ஸ்வேச்சாசாரி,autocrat,எதேச்சாதிகாரி  
"ꢌꢭ꣄ꢔꢾ, ꢂꢣ꣄ꢣꢸ, ꢱꢷꢪꣁ","एल्ग॑, अद्दु, सीमा॑",எல்கெ3/அத்3து3/ ஸீமொ,border,எல்லை  
"ꢱꢷꢪꢵ ꢡꢾꢔꢸꢬꢵꢭ꣄, ꢂꢣ꣄ꢣꢸ ꢡꢾꢔꢸꢬꢵꢭ꣄","सीमा त॑गुराल, अद्दु त॑गउराल",ஸீமா தெகு3ரால்/ அத்3து3 தெகு3ரால்,border dispute,எல்லைத்தகராறு  
"ꢭꢶꢦꢶꢒꣁ, ꢔꢸꢪꢱ꣄ꢡꣁ","लिपिका॑, गुमस्ता॑",லிபிகொ/கு3மஸ்தொ,clerk,எழுத்தர்  
ꢗꢾꢣꢸꢮꢸ ꢛꢵꢥ꣄,च॑दुवु ञान,செது3வு ஞான்,literacy,எழுத்தறிவு  
"ꢭꢿꢓꢥꢱꢵꢪꢔ꣄ꢬꢶ, ꢭꢿꢓꢮꢱ꣄ꢡꢸ","लेखन सामग्रि, लेखवस्तु",லேக2ன ஸாமக்3ரி / லேக2வஸ்து,stationary,எழுதுபொருள்  
"ꢌꢙꢪꢵꢥ꣄, ꢪꣁꢣ꣄ꢬꢳꢶ","एजमान, मा॑द्रळि",எஜமான்/மொத்3ரளி,master,எஜமான்  
ꢱ꣄ꢮꢿꢗ꣄ꢗꢵꢗꢵꢬ꣄,स्वेच्चाचार,ஸ்வேச்சாசார்,autocracy,ஏகாதிபத்தியம்  
"ꢍꢒꢵꢤꢶꢦꢡꢶ, ꢱꢬ꣄ꢮꢵꢡꢶꢒꢵꢬꢶ","एकाधिपति, सर्वातिकारि",ஏகாதி4பதி/ஸர்வாதிகாரி,autocrat/ dictator,ஏகாதிபதி / சர்வாதிகாரி
ꢂꢥꢸꢒ꣄ꢬꢪꣁ,अनुक्रमा॑,அனுக்ரமொ,arrangement,ஏற்பாடு  
"ꢱ꣄ꢮꢷꢒꢵꢬ꣄, ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄, ꢏꢦ꣄ꢦꢶꢭ꣄ꢥꢶ","स्वीकार, अङ्गीकार, आ॑प्पिल्नि",ஸ்வீகார்/அங்கீ3கார்/ஒப்பில்னி,acceptance,ஏற்பு/ஒப்புதல்
ꢆꢖ꣄ꢗ ꢓꢵꢭ꣄,उञ्च खाल्,உஞ்ச கா2ல்,fluctuation,ஏற்ற இறக்கம்   
"ꢲꢶꢖ꣄ꢔꢵꢮ꣄, ꢥꢶꢬ꣄ꢫꢵꢡ꣄, ꢲꢶꢖ꣄ꢔꢵꢜ꣄","हिङ्गाव्, निर्यात, हिङ्गाट",ஹிங்கா3வ்/ நிர்யாத்/ஹிங்கா3ட்,export,ஏற்றுமதி  
