ꢂꢠ꣄ꢗꢸ ꢮꢔꢡꢶ,अण्चुव गति,அண்சுவ க3தி,suppression,அடக்குமுறை  
ꢲꢥꢶꢪꢵꢬ꣄,हनिमार,ஹனிமார்,plunder,சூறையாடல்  
ꢮꢶꢭꢸꢝꢥꣁ,विलुठना॑,விலுட2னொ,plunder,சூறையாடல்  
ꢃꢱ꣄ꢡꢶ,आस्ति,ஆஸ்தி,property,சொத்து  
ꢱꣁꢡ꣄ꢡꢸ,सा॑त्तु,ஸொத்து,property,சொத்து  
ꢡꢾꢒꢸꢬꢵꢭ꣄,त॑कुराल्,தெகு3ரால்,dispute,தகராறு  
ꢬꢸꢙꢸ,रुजु,ருஜு,evidence,தடயம்  
ꢢꢥꢵꢭ ꣄ꢭꣀꢞꢵ ꢲꢥ꣄ꢥꢶ,थणा ललैडा हन्नि,த2னால் லைடா3 ஹன்னி,lathi charge,தடியடி  
ꢲꢶꢨ꣄ꢨꢵꢞꢸ ꢃꢙꢛꣁ,हिब्बाडु आजञो,ஹிப்3பா3டு3 ஆஜ்ஞொ,"prevention order, stay order",தடையுத்தரவு  
ꢥꢶꢬꣂꢤ꣄ ꢃꢙ꣄ꢛꢸ,निरोध आजञो,நிரோத்4 ஆஜ்ஞொ,"prevention order, stay order",தடையுத்தரவு  
ꢣꢾꢠ꣄ꢞꢥꣁ,द॑ण्डना॑,தெ3ண்ட3னொ,punish-ment,தண்டனை  
ꢪꢥ꣄ꢡꢸ,मन्तु,மந்து,mistake,"தவறு, தப்பு  "
ꢲꣂꢬ꣄,होर्,ஹோர்,side,தரப்பு  
ꢱ꣄ꢮꢫ ꢬꢒ꣄ꢰꢠꣁ,स्वय रक्षणा॑,ஸ்வய ரக்ஷணொ,self-defence,தற்காப்பு  
ꢗꣁꢬ꣄,चो्र,சோர்,theft,திருட்டு  
ꢗꣁꢞ꣄ꢞꣁ,चा॑ड्डा॑,சொட்3டொ3,thief (M),திருடன்  
ꢗꣁꢞ꣄ꢞꢶ,चा॑ड्डि,சொட்3டி3,thief (F),திருடி  
ꢡꢷꢬ꣄ꢦꢸ,तीर्पु,தீர்பு,judgement,தீர்ப்பு  
