Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢂꢨ꣄ꢨꢳ꣄ꢳꢿ,अब्बळ्ळे,அப்3ப3ள்ளே,abbal'l'e,abbaLLe,abbal̤l̤e,əbbəɭɭeː,get,கிட்டு (இன்)  
ꢦꣁꢞ꣄ ꢬꢴꢵ,पा॑ड् र्हा,பொட்3 ரா:,po'd' rhaa,pOD rhA,pŏḍ rhā,poɖ ɾɦɑː,lying there (money),கிட (ந்த்)  
ꢥꢶꢖ꣄ꢙꢵꢜ꣄,निञ्जाट्,நிஞ்ஜாட்,ningjaat',niGjAT,niṅjāṭ,n̪ɪŋd͡ʒɑːʈ,make lie down,கிடத்து (இன்)  
ꢓꢶꢠ꣄ꢓꢶꢠꢵꢜ꣄ ꢒꢪ꣄ꢦꢥꣁ ꢒꢿꢬ꣄,खिण्खिणट्,கி2ண்கிணாட்,khinkhinaat' kampano' ker,khiNkhiNAT kampanO ker,khiṇkhiṇāṭ kampanŏ ker,kʰɪɳkʰɪɳɑːʈ kəmpən̪o keːɾ,tremble,கிடுகிடு (இன்)  
ꢓꢶꢠ꣄ꢓꢶꢠꢵꢜ꣄ ꢒꢪ꣄ꢦꢥꣁ ꢒꢿꢬ꣄,कम्पना॑ केर,கம்பனொ கேர்,khinkhinaat' kampano' ker,khiNkhiNAT kampanO ker,khiṇkhiṇāṭ kampanŏ ker,kʰɪɳkʰɪɳɑːʈ kəmpən̪o keːɾ,tremble,கிடுகிடு (இன்)  
ꢂꢨ꣄ꢨꢱ꣄ꢡꢶꢱꣁ ꢬꢴꢵ,अब्बस्तिसा॑ र्हा,அப்3ப3ஸ்திஸொ ரா:,abbastiso' rhaa,abbastisO rhA,abbastisŏ rhā,əbbəs̪t̪ɪs̪o ɾɦɑː,available,கிடை (த்த்)  
ꢒꢮ꣄ꢭꢶ,कव्लि,கவ்லி,kavli,kavli,kavli,kəʋlɪ,stir,கிண்டு (இன்)  
ꢥꣁꢠ꣄ꢜꢶꢭꢶꢗꢵꢭ꣄,ना॑ण्टिलिचाल्,நொண்டி3லிசால்,no'nt'ilichaal,nONTilicAl,nŏṇṭilicāl,n̪oɳʈɪlɪt͡ʃɑːl,limp,கிந்து (இன்)  
ꢚꢹꢬ꣄ ꢆꢜ꣄ꢗꢶꢭꢾ,झूर्,ஜூ2ர்,jhoor ut'chile',jhUr uTcilE,jhūr uṭcilĕ,d͡ʒʰuːɾ uʈt͡ʃɪle,absorb,கிரகி (த்த்)  
ꢔ꣄ꢬꢲꢥꣁ ꢒꢿꢬ꣄,उट्चिले,உட்சிலே,grahano' ker,grahanO ker,grahanŏ ker,gɾəɦən̪o keːɾ,absorb,கிரகி (த்த்)  
ꢔ꣄ꢬꢲꢥꣁ ꢒꢿꢬ꣄,ग्रहना॑ केर,க்3ரஹனொ கேர்,grahano' ker,grahanO ker,grahanŏ ker,gɾəɦən̪o keːɾ,absorb,கிரகி (த்த்)  
ꢩꢜ꣄ꢜꢶ ꢙꢵ,फट्टि जा,ப2ட்டி ஜா,bhat't'i jaa,bhaTTi jA,bhaṭṭi jā,bʰəʈʈɪ d͡ʒɑː,be tore off (int.),கிழி (ந்த்)  
ꢩꢵꢜ꣄,फाट्,பா2ட்,bhaat',bhAT,bhāṭ,bʰɑːʈ,tear off (tr.),கிழி (த்த்)  
ꢗꢸꢠ꣄ꢜꢶ,चुण्टि,சுண்டி,chunt'i,cuNTi,cuṇṭi,t͡ʃuɳʈɪ,pinch ,கிள்ளு (இன்)  
ꢥꢶꢔꢶꢳꢵꢜ꣄,निगिळाट्,நிகி3ளாட்,nigil'aat',nigiLAT,nigil̤āṭ,n̪ɪgɪɭɑːʈ,start (tr.),கிளப்பு (இன்)  
ꢥꢶꢔꢳ꣄,निगिळ,நிகி3ள்,nigal',nigaL,nigal̤,n̪ɪgəɭ,start (int.),கிளம்பு (இன்)  
ꢒꢮ꣄ꢭꢶꢱꣂꢜ꣄,कव्लिसोट्,கவ்லிஸோட்,kavlisot',kavlisoT,kavlisoṭ,kəʋlɪs̪oːʈ,"poke, dig up",கிளறு (இன்)  
ꢯꢵꢓꣁ ꢱꣂꢜ꣄, शाखा॑ सोट,ஶாகொ2 ஸோட்,shaakho' sot',zAkhO soT,śākhŏ soṭ,ʃɑːkʰo s̪oːʈ,branch out,கிளை (இன்)  
ꢣꣁꢱ꣄ꢒꣁ ꢗꢸꢜ꣄ꢜꢸ ꢧꢷꢬ꣄,दा॑स्का॑ चुट्टु फीर,தொ3ஸ்கொசுட்டு பீ2ர்,do'sko' chut't'u pheer,dOskO cuTTu phIr,dŏskŏ cuṭṭu phīr,d̪os̪ko t͡ʃuʈʈu pʰiːɾ,feel giddiness,கிறங்கு (இன்)  
ꢕꢶꢬ꣄ꢒꢶ,घिर्कि,கி4ர்கி,ghirki,ghirki,ghirki,gʰɪɾkɪ,scribble,கிறுக்கு (இன்)  
ꢒꣁꢮ꣄ꢬꢶ,कोव्रि,கொவ்ரி,ko'vri,kOvri,kŏvri,koʋɾɪ,tear,கீறு (இன்)  
ꢦꢿ,पे,பே,pe,pe,pe,peː,drink,குடி (த்த்)  
ꢱꢾꢣ꣄ꢣꢸ ꢱꢨꣁ ꢒꢿꢬ꣄,सेद्दु बा॑ केर,ஸெத்3து3 ஸபொ3 கேர்,se'ddu sabo' ker,sEddu sabO ker,sĕddu sabŏ ker,s̪ed̪d̪u s̪əbo keːɾ,act like rattle,குடுகுடு (த்த்)  
ꢕꢸꢮꣁ ꢒꢿꢬ꣄,घुवा॑ केर,கூ4வொ கேர்,ghuvo' ker,ghuvO ker,ghuvŏ ker,gʰuʋo keːɾ,carve out,குடை (ந்த்)  
ꢮ꣄ꢫꢮꢱ꣄ꢢꣁ ꢥꢴꢷꢡ꣄ꢡꢶꢱꣁ ꢒꢿꢬ꣄,व्यवस्थो न्हीत्तिसा॑ केर,வ்யவஸ்தொ2 நீ:த்திஸொ கேர்,vyavastho' nheettiso' ker,vyavasthO nhIttisO ker,vyavasthŏ nhīttisŏ ker,ʋjəʋəs̪t̪ʰo n̪ɦiːt̪t̪ɪs̪o keːɾ,make disorder,குணக்கு (இன்)  
ꢮ꣄ꢫꢮꢱ꣄ꢢꣁ ꢥꢴꢷꢡ꣄ꢡꢶꢱꣁ ꢲꣁ,व्यवस्थो न्हीत्तिसा॑ हो,வ்யவஸ்தொ2 நீ:த்திஸொ ஹோ,vyavastho' nheettiso' ho',vyavasthO nhIttisO hO,vyavasthŏ nhīttisŏ hŏ,ʋjəʋəs̪t̪ʰo n̪ɦiːt̪t̪ɪs̪o ɦo,be disordered,குணங்கு (இன்)  
ꢃꢒꢬ꣄ꢰꢥꣁ ꢒꢿꢬ꣄,आकर्षना॑ केर,ஆகர்ஷனொ கேர்,aakarshano' ker,AkarSanO ker,ākarṣanŏ ker,ɑːkəɾʂən̪o keːɾ,speak/act to attract,குணட்டு (இன்)  
ꢔꢸꢱꢸꢔꢸꢱꢸ ꢒꢿꢬ꣄,गुसुगुसु केर,கு3ஸுகு3ஸு கேர்,gusugusu ker,gusugusu ker,gusugusu ker,gus̪ugus̪u keːɾ,murmur,குணுகுணு (த்த்)  
ꢔꢸꢣ꣄ꢣꢶ,गुद्दि,கு3த்3தி3,guddi,guddi,guddi,gud̪d̪ɪ,"fist, pinch",குத்து (இன்)  
ꢗꢮꢶ ꢒꢵ,चवि खा,சவி கா2,chavi kaa,cavi kA,cavi kā,t͡ʃəʋɪ kɑː,chew,குதம்பு (இன்)  
ꢤꢸꢖ꣄ꢒꢶ,धुङ्कि,து4ங்கி,dhunki,dhuGki,dhuṅki,d̪ʰuŋkɪ,jump,குதி (த்த்)  
ꢒꢸꢰꢵꢭ꣄ ꢒꢿꢬ꣄,कुषाल्केर्,குஷால்கேர்,kushaal ker,kuSAl ker,kuṣāl ker,kuʂɑːl keːɾ,enjoy,குதூகலி (த்த்)  
ꢲꢳ꣄ꢳꢸ ꢔꢸꢣ꣄ꢣꢶ,हळ्ळु गुद्दि,ஹள்ளுகு3த்3தி3,hal'l'u guddi,haLLu guddi,hal̤l̤u guddi,ɦəɭɭu gud̪d̪ɪ,pound gently,கும்மு (இன்)  
